asset_id,site_id,building_id,customer_id,asset_type,asset_name,category,manufacturer,installation_date,warranty_expiry
ASSET000001,SITE001,SITE001_BLDG03,CUST001,Defibrillator,Defibrillator,Emergency,ZOLL,2020-11-07,2025-11-06
ASSET000002,SITE001,SITE001_BLDG04,CUST001,Defibrillator,Defibrillator,Emergency,ZOLL,2025-10-20,2030-10-19
ASSET000003,SITE001,SITE001_BLDG02,CUST001,Ventilator,Ventilator,Life Support,Dräger,2025-01-17,2030-01-16
ASSET000004,SITE001,SITE001_BLDG03,CUST001,Monitor,Patient Monitor,Monitoring,Mindray,2023-06-23,2028-06-21
ASSET000005,SITE001,SITE001_BLDG04,CUST001,Infusion Pump,Infusion Pump,Therapy,Baxter,2024-10-20,2029-10-19
ASSET000006,SITE001,SITE001_BLDG02,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2021-10-12,2026-10-11
ASSET000007,SITE001,SITE001_BLDG01,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2022-10-16,2027-10-15
ASSET000008,SITE001,SITE001_BLDG02,CUST001,AHU,HVAC Unit,Infrastructure,Daikin,2025-03-18,2030-03-17
ASSET000009,SITE001,SITE001_BLDG01,CUST001,AHU,HVAC Unit,Infrastructure,Daikin,2021-06-21,2026-06-20
ASSET000010,SITE001,SITE001_BLDG02,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2019-08-30,2024-08-28
ASSET000011,SITE001,SITE001_BLDG03,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2019-05-09,2024-05-07
ASSET000012,SITE001,SITE001_BLDG02,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2024-10-06,2029-10-05
ASSET000013,SITE001,SITE001_BLDG02,CUST001,Monitor,Patient Monitor,Monitoring,Mindray,2024-06-11,2029-06-10
ASSET000014,SITE001,SITE001_BLDG04,CUST001,Defibrillator,Defibrillator,Emergency,ZOLL,2020-06-25,2025-06-24
ASSET000015,SITE001,SITE001_BLDG04,CUST001,Ventilator,Ventilator,Life Support,Dräger,2024-04-21,2029-04-20
ASSET000016,SITE001,SITE001_BLDG01,CUST001,Ventilator,Ventilator,Life Support,Dräger,2020-01-22,2025-01-20
ASSET000017,SITE001,SITE001_BLDG04,CUST001,Ultrasound,Ultrasound Machine,Imaging,Samsung,2022-12-22,2027-12-21
ASSET000018,SITE001,SITE001_BLDG01,CUST001,Ultrasound,Ultrasound Machine,Imaging,Samsung,2024-03-27,2029-03-26
ASSET000019,SITE001,SITE001_BLDG04,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2019-09-06,2024-09-04
ASSET000020,SITE001,SITE001_BLDG02,CUST001,ECG,ECG Machine,Diagnostic,BPL,2020-03-23,2025-03-22
ASSET000021,SITE001,SITE001_BLDG04,CUST001,Ventilator,Ventilator,Life Support,Dräger,2021-02-18,2026-02-17
ASSET000022,SITE001,SITE001_BLDG02,CUST001,X-Ray,X-Ray Machine,Medical Equipment,Philips,2023-09-25,2028-09-23
ASSET000023,SITE001,SITE001_BLDG02,CUST001,Monitor,Patient Monitor,Monitoring,Mindray,2024-03-09,2029-03-08
ASSET000024,SITE001,SITE001_BLDG01,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2023-12-21,2028-12-19
ASSET000025,SITE001,SITE001_BLDG01,CUST001,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2025-01-23,2030-01-22
ASSET000026,SITE001,SITE001_BLDG02,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2021-08-26,2026-08-25
ASSET000027,SITE001,SITE001_BLDG04,CUST001,Ultrasound,Ultrasound Machine,Imaging,Samsung,2024-06-12,2029-06-11
ASSET000028,SITE001,SITE001_BLDG01,CUST001,Ventilator,Ventilator,Life Support,Dräger,2023-07-01,2028-06-29
ASSET000029,SITE001,SITE001_BLDG01,CUST001,X-Ray,X-Ray Machine,Medical Equipment,Philips,2023-04-02,2028-03-31
ASSET000030,SITE001,SITE001_BLDG04,CUST001,Ultrasound,Ultrasound Machine,Imaging,Samsung,2021-12-22,2026-12-21
ASSET000031,SITE001,SITE001_BLDG04,CUST001,Monitor,Patient Monitor,Monitoring,Mindray,2023-09-29,2028-09-27
ASSET000032,SITE001,SITE001_BLDG03,CUST001,X-Ray,X-Ray Machine,Medical Equipment,Philips,2021-02-16,2026-02-15
ASSET000033,SITE001,SITE001_BLDG01,CUST001,Ventilator,Ventilator,Life Support,Dräger,2019-08-28,2024-08-26
ASSET000034,SITE001,SITE001_BLDG01,CUST001,ECG,ECG Machine,Diagnostic,BPL,2019-08-23,2024-08-21
ASSET000035,SITE001,SITE001_BLDG02,CUST001,AHU,HVAC Unit,Infrastructure,Daikin,2024-05-06,2029-05-05
ASSET000036,SITE001,SITE001_BLDG01,CUST001,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2024-09-11,2029-09-10
ASSET000037,SITE001,SITE001_BLDG01,CUST001,X-Ray,X-Ray Machine,Medical Equipment,Philips,2019-10-08,2024-10-06
ASSET000038,SITE001,SITE001_BLDG01,CUST001,Ventilator,Ventilator,Life Support,Dräger,2023-07-12,2028-07-10
ASSET000039,SITE001,SITE001_BLDG01,CUST001,AHU,HVAC Unit,Infrastructure,Daikin,2021-10-05,2026-10-04
ASSET000040,SITE001,SITE001_BLDG04,CUST001,AHU,HVAC Unit,Infrastructure,Daikin,2019-12-02,2024-11-30
ASSET000041,SITE001,SITE001_BLDG03,CUST001,AHU,HVAC Unit,Infrastructure,Daikin,2025-05-04,2030-05-03
ASSET000042,SITE001,SITE001_BLDG03,CUST001,Monitor,Patient Monitor,Monitoring,Mindray,2021-04-16,2026-04-15
ASSET000043,SITE001,SITE001_BLDG04,CUST001,Ventilator,Ventilator,Life Support,Dräger,2021-12-23,2026-12-22
ASSET000044,SITE001,SITE001_BLDG04,CUST001,X-Ray,X-Ray Machine,Medical Equipment,Philips,2022-05-13,2027-05-12
ASSET000045,SITE001,SITE001_BLDG01,CUST001,ECG,ECG Machine,Diagnostic,BPL,2019-10-25,2024-10-23
ASSET000046,SITE001,SITE001_BLDG01,CUST001,Infusion Pump,Infusion Pump,Therapy,Baxter,2025-12-19,2030-12-18
ASSET000047,SITE001,SITE001_BLDG02,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2025-01-11,2030-01-10
ASSET000048,SITE001,SITE001_BLDG02,CUST001,Defibrillator,Defibrillator,Emergency,ZOLL,2021-12-22,2026-12-21
ASSET000049,SITE001,SITE001_BLDG02,CUST001,ECG,ECG Machine,Diagnostic,BPL,2019-10-09,2024-10-07
ASSET000050,SITE001,SITE001_BLDG02,CUST001,ECG,ECG Machine,Diagnostic,BPL,2022-03-13,2027-03-12
ASSET000051,SITE002,SITE002_BLDG01,CUST001,Defibrillator,Defibrillator,Emergency,ZOLL,2022-05-24,2027-05-23
ASSET000052,SITE002,SITE002_BLDG01,CUST001,Defibrillator,Defibrillator,Emergency,ZOLL,2022-05-11,2027-05-10
ASSET000053,SITE002,SITE002_BLDG01,CUST001,X-Ray,X-Ray Machine,Medical Equipment,Philips,2021-12-19,2026-12-18
ASSET000054,SITE002,SITE002_BLDG02,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2025-03-16,2030-03-15
ASSET000055,SITE002,SITE002_BLDG02,CUST001,Monitor,Patient Monitor,Monitoring,Mindray,2022-02-28,2027-02-27
ASSET000056,SITE002,SITE002_BLDG03,CUST001,ECG,ECG Machine,Diagnostic,BPL,2021-04-13,2026-04-12
ASSET000057,SITE002,SITE002_BLDG03,CUST001,Defibrillator,Defibrillator,Emergency,ZOLL,2024-06-24,2029-06-23
ASSET000058,SITE002,SITE002_BLDG04,CUST001,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2020-01-14,2025-01-12
ASSET000059,SITE002,SITE002_BLDG01,CUST001,Monitor,Patient Monitor,Monitoring,Mindray,2019-06-30,2024-06-28
ASSET000060,SITE002,SITE002_BLDG03,CUST001,ECG,ECG Machine,Diagnostic,BPL,2020-06-19,2025-06-18
ASSET000061,SITE002,SITE002_BLDG04,CUST001,X-Ray,X-Ray Machine,Medical Equipment,Philips,2023-12-15,2028-12-13
ASSET000062,SITE002,SITE002_BLDG01,CUST001,Defibrillator,Defibrillator,Emergency,ZOLL,2019-02-09,2024-02-08
ASSET000063,SITE002,SITE002_BLDG01,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2020-09-02,2025-09-01
ASSET000064,SITE002,SITE002_BLDG02,CUST001,ECG,ECG Machine,Diagnostic,BPL,2025-07-13,2030-07-12
ASSET000065,SITE002,SITE002_BLDG01,CUST001,Ultrasound,Ultrasound Machine,Imaging,Samsung,2020-06-06,2025-06-05
ASSET000066,SITE002,SITE002_BLDG01,CUST001,Monitor,Patient Monitor,Monitoring,Mindray,2023-02-02,2028-02-01
ASSET000067,SITE002,SITE002_BLDG02,CUST001,ECG,ECG Machine,Diagnostic,BPL,2021-05-10,2026-05-09
ASSET000068,SITE002,SITE002_BLDG04,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2022-12-19,2027-12-18
ASSET000069,SITE002,SITE002_BLDG02,CUST001,AHU,HVAC Unit,Infrastructure,Daikin,2020-09-25,2025-09-24
ASSET000070,SITE002,SITE002_BLDG04,CUST001,X-Ray,X-Ray Machine,Medical Equipment,Philips,2020-12-26,2025-12-25
ASSET000071,SITE002,SITE002_BLDG03,CUST001,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2021-01-04,2026-01-03
ASSET000072,SITE002,SITE002_BLDG03,CUST001,Ultrasound,Ultrasound Machine,Imaging,Samsung,2021-10-13,2026-10-12
ASSET000073,SITE002,SITE002_BLDG04,CUST001,X-Ray,X-Ray Machine,Medical Equipment,Philips,2020-03-18,2025-03-17
ASSET000074,SITE002,SITE002_BLDG02,CUST001,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2024-04-11,2029-04-10
ASSET000075,SITE002,SITE002_BLDG03,CUST001,Ventilator,Ventilator,Life Support,Dräger,2024-02-29,2029-02-27
ASSET000076,SITE002,SITE002_BLDG02,CUST001,Monitor,Patient Monitor,Monitoring,Mindray,2021-07-21,2026-07-20
ASSET000077,SITE002,SITE002_BLDG04,CUST001,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2021-03-02,2026-03-01
ASSET000078,SITE002,SITE002_BLDG01,CUST001,ECG,ECG Machine,Diagnostic,BPL,2022-02-15,2027-02-14
