asset_id,asset_type,asset_name,category,manufacturer,installation_date,warranty_expiry,site_id,building_id,customer_id,industry,city,site_type,site_name
ASSET000001,Defibrillator,Defibrillator,Emergency,ZOLL,2020-11-07,2025-11-06,SITE001,SITE001_BLDG03,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000002,Defibrillator,Defibrillator,Emergency,ZOLL,2025-10-20,2030-10-19,SITE001,SITE001_BLDG04,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000003,Ventilator,Ventilator,Life Support,Dräger,2025-01-17,2030-01-16,SITE001,SITE001_BLDG02,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000004,Monitor,Patient Monitor,Monitoring,Mindray,2023-06-23,2028-06-21,SITE001,SITE001_BLDG03,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000005,Infusion Pump,Infusion Pump,Therapy,Baxter,2024-10-20,2029-10-19,SITE001,SITE001_BLDG04,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000006,CT Scanner,CT Scanner,Medical Equipment,Siemens,2021-10-12,2026-10-11,SITE001,SITE001_BLDG02,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000007,CT Scanner,CT Scanner,Medical Equipment,Siemens,2022-10-16,2027-10-15,SITE001,SITE001_BLDG01,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000008,AHU,HVAC Unit,Infrastructure,Daikin,2025-03-18,2030-03-17,SITE001,SITE001_BLDG02,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000009,AHU,HVAC Unit,Infrastructure,Daikin,2021-06-21,2026-06-20,SITE001,SITE001_BLDG01,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000010,CT Scanner,CT Scanner,Medical Equipment,Siemens,2019-08-30,2024-08-28,SITE001,SITE001_BLDG02,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000011,CT Scanner,CT Scanner,Medical Equipment,Siemens,2019-05-09,2024-05-07,SITE001,SITE001_BLDG03,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000012,CT Scanner,CT Scanner,Medical Equipment,Siemens,2024-10-06,2029-10-05,SITE001,SITE001_BLDG02,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000013,Monitor,Patient Monitor,Monitoring,Mindray,2024-06-11,2029-06-10,SITE001,SITE001_BLDG02,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000014,Defibrillator,Defibrillator,Emergency,ZOLL,2020-06-25,2025-06-24,SITE001,SITE001_BLDG04,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000015,Ventilator,Ventilator,Life Support,Dräger,2024-04-21,2029-04-20,SITE001,SITE001_BLDG04,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000016,Ventilator,Ventilator,Life Support,Dräger,2020-01-22,2025-01-20,SITE001,SITE001_BLDG01,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000017,Ultrasound,Ultrasound Machine,Imaging,Samsung,2022-12-22,2027-12-21,SITE001,SITE001_BLDG04,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
