event_id,timestamp,asset_id,event_type,severity,message
EVT000001,2025-07-01 08:50:00,ASSET000001,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000002,2025-07-01 09:20:00,ASSET000001,Alarm,Medium,Abnormal power consumption detected in Defibrillator.
EVT000003,2025-07-01 10:00:00,ASSET000001,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000004,2025-07-01 11:05:00,ASSET000001,Warning,Medium,Defibrillator has been shut down.
EVT000005,2025-07-01 12:10:00,ASSET000001,Warning,Medium,Defibrillator has been shut down.
EVT000006,2025-07-01 12:15:00,ASSET000001,Warning,Medium,Defibrillator has been shut down.
EVT000007,2025-07-01 12:40:00,ASSET000001,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000008,2025-07-01 13:55:00,ASSET000001,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000009,2025-07-01 15:10:00,ASSET000001,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000010,2025-07-01 15:20:00,ASSET000001,Alarm,Medium,Abnormal power consumption detected in Defibrillator.
EVT000011,2025-07-01 15:30:00,ASSET000001,Warning,Medium,Defibrillator has been shut down.
EVT000012,2025-07-01 15:40:00,ASSET000001,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000013,2025-07-01 16:10:00,ASSET000001,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000014,2025-07-01 08:00:00,ASSET000002,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000015,2025-07-01 08:45:00,ASSET000002,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000016,2025-07-01 08:50:00,ASSET000002,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000017,2025-07-01 09:00:00,ASSET000002,Warning,Medium,Defibrillator has been shut down.
EVT000018,2025-07-01 09:50:00,ASSET000002,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000019,2025-07-01 10:00:00,ASSET000002,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000020,2025-07-01 10:20:00,ASSET000002,Warning,Medium,Defibrillator has been shut down.
EVT000021,2025-07-01 10:45:00,ASSET000002,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000022,2025-07-01 11:05:00,ASSET000002,Warning,Medium,Defibrillator has been shut down.
EVT000023,2025-07-01 11:20:00,ASSET000002,Warning,Medium,Defibrillator has been shut down.
EVT000024,2025-07-01 11:30:00,ASSET000002,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000025,2025-07-01 12:05:00,ASSET000002,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000026,2025-07-01 12:30:00,ASSET000002,Fault,High,Excessive vibration detected in Defibrillator.
